Year,ISO,have_conflict
2000,AFG,1
2000,AGO,1
2000,ALB,1
2000,AND,0
2000,ARE,0
2000,ARG,0
2000,ARM,0
2000,ATG,0
2000,AUS,0
2000,AUT,0
2000,AZE,1
2000,BDI,1
2000,BEL,0
2000,BEN,0
2000,BFA,0
2000,BGD,1
2000,BGR,0
2000,BHR,0
2000,BHS,0
2000,BIH,0
2000,BLR,0
2000,BLZ,0
2000,BOL,0
2000,BRA,1
2000,BRB,0
2000,BRN,0
2000,BTN,0
2000,BWA,0
2000,CAF,1
2000,CAN,1
2000,CHE,0
2000,CHL,0
2000,CHN,1
2000,CIV,1
2000,CMR,0
2000,COD,1
2000,COG,1
2000,COL,1
2000,COM,0
2000,CPV,0
2000,CRI,0
2000,CUB,0
2000,CYP,0
2000,CZE,0
2000,DEU,0
2000,DJI,1
2000,DMA,0
2000,DNK,0
2000,DOM,0
2000,DZA,1
2000,ECU,0
2000,EGY,1
2000,ERI,1
2000,ESP,0
2000,EST,0
2000,ETH,1
2000,FIN,0
2000,FJI,0
2000,FRA,0
2000,FSM,0
2000,GAB,0
2000,GBR,0
2000,GEO,0
2000,GHA,0
2000,GIN,1
2000,GMB,0
2000,GNB,1
2000,GNQ,0
2000,GRC,0
2000,GRD,0
2000,GTM,0
2000,GUY,0
2000,HND,1
2000,HRV,0
2000,HTI,1
2000,HUN,0
2000,IDN,1
2000,IND,1
2000,IRL,0
2000,IRN,1
2000,IRQ,1
2000,ISL,0
2000,ITA,0
2000,JAM,0
2000,JOR,0
2000,JPN,0
2000,KAZ,0
2000,KEN,1
2000,KGZ,1
2000,KHM,1
2000,KIR,0
2000,KOR,0
2000,KWT,0
2000,LAO,1
2000,LBN,1
2000,LBR,1
2000,LBY,0
2000,LCA,0
2000,LKA,1
2000,LSO,0
2000,LTU,0
2000,LUX,0
2000,LVA,0
2000,MAR,0
2000,MDA,0
2000,MDG,0
2000,MDV,0
2000,MEX,0
2000,MHL,0
2000,MKD,1
2000,MLI,1
2000,MLT,0
2000,MMR,1
2000,MNE,0
2000,MNG,0
2000,MOZ,0
2000,MRT,0
2000,MUS,0
2000,MWI,0
2000,MYS,0
2000,NAM,1
2000,NER,0
2000,NGA,1
2000,NIC,0
2000,NLD,0
2000,NOR,0
2000,NPL,1
2000,NZL,0
2000,OMN,0
2000,PAK,1
2000,PAN,0
2000,PER,1
2000,PHL,1
2000,PNG,1
2000,POL,0
2000,PRI,0
2000,PRK,0
2000,PRT,0
2000,PRY,0
2000,QAT,0
2000,ROU,0
2000,RUS,1
2000,RWA,1
2000,SAU,0
2000,SDN,1
2000,SEN,1
2000,SGP,0
2000,SLB,0
2000,SLE,1
2000,SLV,0
2000,SOM,1
2000,SRB,1
2000,SSD,0
2000,STP,0
2000,SUR,0
2000,SVK,0
2000,SVN,0
2000,SWE,0
2000,SWZ,0
2000,SYC,0
2000,SYR,0
2000,TCD,1
2000,TGO,0
2000,THA,1
2000,TJK,1
2000,TKM,0
2000,TLS,0
2000,TON,0
2000,TTO,0
2000,TUN,0
2000,TUR,1
2000,TZA,1
2000,UGA,1
2000,UKR,0
2000,URY,0
2000,USA,0
2000,UZB,1
2000,VCT,0
2000,VEN,1
2000,VNM,0
2000,VUT,0
2000,WSM,0
2000,YEM,0
2000,ZAF,1
2000,ZMB,0
2000,ZWE,1
2001,AFG,1
2001,AGO,1
2001,ALB,0
2001,AND,0
2001,ARE,0
2001,ARG,0
2001,ARM,0
2001,ATG,0
2001,AUS,0
2001,AUT,0
2001,AZE,1
2001,BDI,1
2001,BEL,0
2001,BEN,0
2001,BFA,0
2001,BGD,1
2001,BGR,0
2001,BHR,0
2001,BHS,0
2001,BIH,0
2001,BLR,0
2001,BLZ,0
2001,BOL,1
2001,BRA,1
2001,BRB,0
2001,BRN,0
2001,BTN,0
2001,BWA,0
2001,CAF,1
2001,CAN,1
2001,CHE,0
2001,CHL,0
2001,CHN,0
2001,CIV,1
2001,CMR,1
2001,COD,1
2001,COG,0
2001,COL,1
2001,COM,0
2001,CPV,0
2001,CRI,0
2001,CUB,0
2001,CYP,0
2001,CZE,0
2001,DEU,0
2001,DJI,0
2001,DMA,0
2001,DNK,0
2001,DOM,0
2001,DZA,1
2001,ECU,0
2001,EGY,1
2001,ERI,1
2001,ESP,1
2001,EST,0
2001,ETH,1
2001,FIN,0
2001,FJI,0
2001,FRA,0
2001,FSM,0
2001,GAB,0
2001,GBR,1
2001,GEO,0
2001,GHA,1
2001,GIN,1
2001,GMB,0
2001,GNB,1
2001,GNQ,0
2001,GRC,0
2001,GRD,0
2001,GTM,0
2001,GUY,0
2001,HND,1
2001,HRV,0
2001,HTI,0
2001,HUN,0
2001,IDN,1
2001,IND,1
2001,IRL,0
2001,IRN,1
2001,IRQ,1
2001,ISL,0
2001,ITA,0
2001,JAM,0
2001,JOR,0
2001,JPN,0
2001,KAZ,0
2001,KEN,1
2001,KGZ,1
2001,KHM,1
2001,KIR,0
2001,KOR,0
2001,KWT,0
2001,LAO,1
2001,LBN,1
2001,LBR,1
2001,LBY,0
2001,LCA,0
2001,LKA,1
2001,LSO,0
2001,LTU,0
2001,LUX,0
2001,LVA,0
2001,MAR,0
2001,MDA,0
2001,MDG,0
2001,MDV,0
2001,MEX,0
2001,MHL,0
2001,MKD,1
2001,MLI,0
2001,MLT,0
2001,MMR,1
2001,MNE,0
2001,MNG,0
2001,MOZ,0
2001,MRT,0
2001,MUS,0
2001,MWI,0
2001,MYS,0
2001,NAM,1
2001,NER,0
2001,NGA,1
2001,NIC,0
2001,NLD,0
2001,NOR,0
2001,NPL,1
2001,NZL,0
2001,OMN,0
